year,state name,region_1,age,sex_1,race_1,martial status,union type,educ99,occ,ind,wkswork1,uhrswork,incwage
1999,California,West,37,male,Hispanic,"Married, spouse present",NIU,11.0,424,910,52,40,42000.0
1999,Delaware,South,41,male,Black nonhisp,"Married, spouse present",NIU,10.0,308,410,52,40,30000.0
1999,Tennessee,South,33,male,White nonhisp,"Married, spouse present",NIU,10.0,717,351,52,48,47771.0
1999,Pennsylvania,Northeast,49,male,White nonhisp,"Married, spouse present",NIU,15.0,13,391,52,60,113000.0
1999,California,West,32,male,Hispanic,"Married, spouse present",NIU,10.0,869,60,52,35,17000.0
1999,California,West,39,male,White nonhisp,Divorced,Member of labor union,8.0,804,410,52,40,47736.0
1999,West Virginia,South,28,male,White nonhisp,Never mar,No union coverage,15.0,53,882,52,40,19800.0
1999,New Hampshire,Northeast,26,male,Other nonhisp,Never mar,No union coverage,15.0,229,732,52,50,40000.0
1999,Texas,South,38,male,Hispanic,"Married, spouse present",NIU,10.0,804,192,52,40,34000.0
1999,Texas,South,31,male,Hispanic,Divorced,No union coverage,9.0,514,751,52,40,12534.0
1999,Montana,West,51,male,White nonhisp,Widowed,NIU,13.0,426,160,52,40,40000.0
1999,Minnesota,Midwest,27,male,White nonhisp,Never mar,NIU,11.0,255,710,52,40,20000.0
1999,Kentucky,South,34,male,White nonhisp,"Married, spouse present",NIU,7.0,547,500,52,54,16000.0
1999,Florida,South,54,male,White nonhisp,"Married, spouse present",NIU,10.0,503,121,52,45,40000.0
1999,New Mexico,West,29,male,Hispanic,"Married, spouse present",NIU,10.0,518,190,52,45,15000.0
1999,Ohio,Midwest,30,male,Hispanic,"Married, spouse present",NIU,11.0,759,631,52,50,52200.0
1999,California,West,45,male,Hispanic,"Married, spouse present",NIU,5.0,804,242,52,40,50000.0
1999,Pennsylvania,Northeast,49,male,White nonhisp,"Married, spouse present",No union coverage,17.0,85,820,49,36,100000.0
1999,Connecticut,Northeast,42,male,White nonhisp,"Married, spouse present",NIU,11.0,257,741,52,60,130000.0
1999,Idaho,West,48,male,White nonhisp,"Married, spouse present",NIU,15.0,157,842,52,40,30000.0
1999,Texas,South,49,male,White nonhisp,"Married, spouse present",NIU,11.0,36,931,52,40,57000.0
1999,North Carolina,South,26,male,Black nonhisp,"Married, spouse present",NIU,11.0,243,630,52,40,4000.0
1999,North Carolina,South,62,male,White nonhisp,Separated,No union coverage,6.0,534,672,52,45,16000.0
1999,Nevada,West,32,male,Hispanic,"Married, spouse present",NIU,5.0,547,712,52,40,17680.0
1999,Texas,South,40,male,Black nonhisp,"Married, spouse present",No union coverage,11.0,424,910,52,40,23000.0
1999,Connecticut,Northeast,29,male,White nonhisp,Never mar,NIU,11.0,577,440,52,40,35000.0
1999,Virginia,South,34,male,White nonhisp,"Married, spouse present",NIU,11.0,29,560,52,50,34000.0
1999,Kansas,Midwest,54,male,White nonhisp,"Married, spouse present",NIU,18.0,127,850,52,60,75895.0
1999,Nevada,West,31,male,White nonhisp,Never mar,NIU,10.0,565,60,52,40,20000.0
1999,Ohio,Midwest,29,male,White nonhisp,Never mar,NIU,10.0,486,20,52,40,20000.0
1999,Michigan,Midwest,48,male,White nonhisp,"Married, spouse present",NIU,10.0,518,351,52,40,51338.0
1999,Ohio,Midwest,60,male,White nonhisp,Separated,NIU,10.0,686,601,52,40,22670.0
1999,Virginia,South,60,male,White nonhisp,"Married, spouse present",No union coverage,10.0,337,360,52,40,26000.0
1999,Florida,South,29,male,Hispanic,"Married, spouse present",NIU,14.0,229,732,52,50,37000.0
1999,Connecticut,Northeast,42,male,White nonhisp,"Married, spouse present",Member of labor union,10.0,783,352,52,40,38000.0
1999,Pennsylvania,Northeast,33,male,White nonhisp,Never mar,NIU,10.0,883,212,52,50,30000.0
1999,Arizona,West,33,male,Hispanic,"Married, spouse present",NIU,6.0,486,20,52,32,12000.0
1999,Louisiana,South,30,male,White nonhisp,Never mar,NIU,10.0,875,910,52,40,10920.0
1999,Utah,West,56,male,White nonhisp,Divorced,NIU,10.0,567,60,39,20,6500.0
1999,California,West,43,male,Other nonhisp,"Married, spouse present",NIU,13.0,453,342,52,40,28600.0
1999,Minnesota,Midwest,41,male,White nonhisp,Divorced,NIU,10.0,22,172,52,55,41000.0
1999,Massachusetts,Northeast,41,male,White nonhisp,"Married, spouse present",NIU,15.0,65,331,52,40,77000.0
1999,Ohio,Midwest,40,male,White nonhisp,"Married, spouse present",NIU,10.0,628,282,52,57,41000.0
1999,Nevada,West,35,male,White nonhisp,Never mar,NIU,15.0,319,812,52,40,32000.0
1999,Ohio,Midwest,36,male,White nonhisp,Divorced,No union coverage,15.0,259,192,52,45,63000.0
1999,Kentucky,South,29,male,White nonhisp,"Married, spouse present",NIU,15.0,23,850,52,42,33000.0
1999,Florida,South,60,male,Hispanic,Divorced,NIU,8.0,585,842,52,40,27200.0
1999,Louisiana,South,29,male,White nonhisp,"Married, spouse present",NIU,10.0,22,542,52,40,30000.0
1999,Georgia,South,27,male,White nonhisp,"Married, spouse present",No union coverage,10.0,804,451,52,35,35000.0
1999,New York,Northeast,47,male,Hispanic,"Married, spouse present",NIU,10.0,567,60,52,40,14000.0
1999,Illinois,Midwest,38,male,Black nonhisp,Never mar,NIU,16.0,877,601,52,15,6600.0
1999,Montana,West,47,male,White nonhisp,"Married, spouse present",NIU,15.0,525,732,52,42,48000.0
1999,North Carolina,South,48,male,White nonhisp,"Married, spouse present",No union coverage,10.0,888,351,52,40,17680.0
1999,California,West,26,male,Hispanic,Never mar,NIU,10.0,869,60,52,40,30000.0
1999,Illinois,Midwest,49,male,Hispanic,Separated,NIU,5.0,869,60,52,60,11000.0
1999,North Carolina,South,32,male,White nonhisp,"Married, spouse present",NIU,15.0,57,342,52,45,75000.0
1999,New Jersey,Northeast,63,male,White nonhisp,"Married, spouse present",NIU,11.0,804,410,52,45,32000.0
1999,Florida,South,41,male,Black nonhisp,"Married, spouse present",No union coverage,10.0,595,60,52,40,25000.0
1999,California,West,51,male,White nonhisp,"Married, spouse present",NIU,15.0,575,60,52,40,50000.0
